procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 53001696 260080 6542160    0    0     0    70  856  831  1  0 79 20  0  0
 1  2      0 53000256 260080 6542176    0    0     0     0 1540 1768  1  0 79 20  0  0
 0  2      0 52980816 260080 6542192    0    0     0    14 2739 3596  1  0 79 20  0  0
 0  2      0 52979520 260080 6542192    0    0     0     0 1879 2208  1  0 79 20  0  0
 1  2      0 52972448 260080 6542208    0    0     0     0 3857 4649  1  1 78 20  0  0
 3  2      0 52892224 260080 6542240    0    0     0    10 6672 9449  3  1 78 18  0  0
 0  2      0 52889536 260080 6542256    0    0     0    12 1464 1645  1  0 79 20  0  0
 1  2      0 52885328 260080 6542256    0    0     0     0 2146 2610  1  0 79 20  0  0
 1  2      0 52877888 260080 6542272    0    0     0   596 2036 2248  1  0 79 20  0  0
 1  2      0 52948416 260080 6542272    0    0     0     0 2891 3569  2  0 78 20  0  0
 8  2      0 52967456 260080 6542368    0    0     0    56 4403 5665  2  1 78 20  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 52966720 260080 6542368    0    0     0    84 2777 3318  1  0 79 20  0  0
 0  2      0 52968496 260080 6542384    0    0     0    78 3683 4452  2  1 78 20  0  0
 1  2      0 52968496 260080 6542400    0    0     0     0 2767 3379  1  0 79 20  0  0
 1  2      0 52974736 260080 6542400    0    0     0     0 4722 5567  3  1 77 19  0  0
 1  2      0 52936144 260080 6542416    0    0     0    14 4470 5241  3  1 77 19  0  0
 2  2      0 52950896 260080 6542416    0    0     0     0 3444 4118  2  0 78 20  0  0
 0  2      0 52970880 260080 6542512    0    0     0    54 6631 8421  4  1 76 19  0  0
 0  2      0 52973888 260080 6542512    0    0     0    36 4539 5631  2  1 78 20  0  0
 0  2      0 52971968 260080 6542544    0    0     0     0 6405 8100  3  1 77 20  0  0
 0  0      0 53161264 260080 6542592    0    0     0    26 4506 5477  2  1 88 10  0  0
 0  0      0 53161264 260080 6542592    0    0     0    12 4655 5550  2  1 97  0  0  0
 0  0      0 53174624 260080 6542672    0    0     0    64 6070 7494  3  1 96  0  0  0
 0  0      0 53174624 260080 6542672    0    0     0  1146 5146 6491  2  1 97  0  0  0
 1  0      0 53174624 260080 6542672    0    0     0     0 5967 7531  3  1 97  0  0  0
11  2      0 52447936 260096 6544096    0    0     0   152 13131 17330 17  2 75  7  0  0
 8  2      0 52136656 260096 6545680    0    0     0   170 11636 10779 83  1 12  4  0  0
 2  2      0 52565200 260112 6549504    0    0     0  3444 12532 15171 20  2 65 13  0  0
 1  2      0 52616096 260112 6549520    0    0     0     2 3267 3995  2  1 79 19  0  0
