Linux 6.16.0-1002-asahi-arm (onosendai) 	03/20/2026 	_aarch64_	(10 CPU)

10:28:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:18 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:18 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    6    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:18 AM    7    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:18 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:18 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:20 AM  all    0.30    0.00    0.10    0.00    0.00    0.00    0.00    0.00    0.00   99.60
10:29:20 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:20 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:20 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:20 AM    3    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
10:29:20 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:20 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:20 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:20 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:20 AM    8    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:20 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:29:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:22 AM  all    1.60    0.00    0.55   10.12    0.00    0.00    0.00    0.00    0.00   87.73
10:29:22 AM    0    1.00    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   98.51
10:29:22 AM    1    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.99
10:29:22 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:22 AM    3    1.01    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.49
10:29:22 AM    4    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
10:29:22 AM    5    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
10:29:22 AM    6    3.54    0.00    1.01   50.00    0.00    0.00    0.00    0.00    0.00   45.45
10:29:22 AM    7    1.00    0.00    0.50    1.50    0.00    0.00    0.00    0.00    0.00   97.00
10:29:22 AM    8    3.00    0.00    1.00   49.50    0.00    0.00    0.00    0.00    0.00   46.50
10:29:22 AM    9    2.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.50

10:29:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:29:24 AM  all    0.10    0.00    0.10   19.95    0.00    0.00    0.00    0.00    0.00   79.85
10:29:24 AM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:24 AM    1    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:24 AM    2    0.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.50
10:29:24 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:29:24 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
